code,hex,r,g,b,hsv_h,hsv_s,hsv_v,hsl_s,hsl_l,game_hue_x_pct,game_palette_x_pct_colorcraftlab,game_palette_y_pct_colorcraftlab,game_palette_x_pct_pure_hsv,game_palette_y_pct_pure_hsv
A1,#faf5cd,250,245,205,53,18.0,98.0,81.8,89.2,86.1,33.1,4.3,18.0,2.0
A2,#fcfed6,252,254,214,63,15.7,99.6,95.2,91.8,81.9,24.9,0.9,15.7,0.4
A3,#fcff92,252,255,146,62,42.7,100.0,100.0,78.6,82.5,58.2,1.0,42.7,0.0
A4,#f7ec5c,247,236,92,56,62.8,96.9,90.6,66.5,83.5,77.9,8.3,62.8,3.1
A5,#f0d83a,240,216,58,52,75.8,94.1,85.8,58.4,85.4,86.8,5.3,75.8,5.9
A6,#fda951,253,169,81,31,68.0,99.2,97.7,65.5,91.3,79.2,0.9,68.0,0.8
A7,#fa8c4f,250,140,79,21,68.4,98.0,94.5,64.5,94.2,74.1,12.7,68.4,2.0
A8,#fbda4d,251,218,77,49,69.3,98.4,95.6,64.3,86.4,75.1,12.5,69.3,1.6
A9,#f79d5f,247,157,95,24,61.5,96.9,90.5,67.1,93.3,67.9,12.6,61.5,3.1
A10,#f47e38,244,126,56,22,77.0,95.7,89.5,58.8,93.9,79.8,16.1,77.0,4.3
A11,#fedb99,254,219,153,39,39.8,99.6,98.1,79.8,89.2,52.6,6.7,39.8,0.4
A12,#fda276,253,162,118,20,53.4,99.2,97.1,72.7,94.4,63.0,9.3,53.4,0.8
A13,#fec667,254,198,103,38,59.4,99.6,98.7,70.0,89.4,68.0,9.9,59.4,0.4
A14,#f75842,247,88,66,7,73.3,96.9,91.9,61.4,98.1,77.4,14.5,73.3,3.1
A15,#fbf65e,251,246,94,58,62.5,98.4,95.2,67.6,83.9,69.7,11.5,62.5,1.6
A16,#feff97,254,255,151,61,40.8,100.0,100.0,79.6,83.1,53.8,6.5,40.8,0.0
A17,#fde173,253,225,115,48,54.5,99.2,97.2,72.2,86.7,63.9,9.4,54.5,0.8
A18,#fcbf80,252,191,128,30,49.2,98.8,95.4,74.5,91.7,59.4,9.0,49.2,1.2
A19,#fd7e77,253,126,119,3,53.0,99.2,97.1,72.9,99.2,62.7,9.2,53.0,0.8
A20,#f9d66e,249,214,110,45,55.8,97.6,92.1,70.4,87.5,63.8,11.1,55.8,2.4
A21,#fae393,250,227,147,47,41.2,98.0,91.2,77.8,86.9,52.2,8.5,41.2,2.0
A22,#edf878,237,248,120,65,51.6,97.3,90.1,72.2,81.9,60.1,10.7,51.6,2.7
A23,#e4c8ba,228,200,186,20,18.4,89.4,43.8,81.2,94.4,24.0,13.2,18.4,10.6
A24,#f3f6a9,243,246,169,62,31.3,96.5,81.1,81.4,82.8,42.3,8.3,31.3,3.5
A25,#ffd785,255,215,133,40,47.8,100.0,100.0,76.1,88.9,59.3,7.6,47.8,0.0
A26,#ffc734,255,199,52,43,79.6,100.0,100.0,60.2,88.1,84.1,12.7,79.6,0.0
B1,#dff13b,223,241,59,66,75.5,94.5,86.7,58.8,81.7,78.0,16.9,75.5,5.5
B2,#64f343,100,243,67,109,72.4,95.3,88.0,60.8,69.7,75.8,15.7,72.4,4.7
B3,#a1f586,161,245,134,105,45.3,96.1,84.7,74.3,70.8,54.0,10.9,45.3,3.9
B4,#5fdf34,95,223,52,105,76.7,87.5,72.8,53.9,70.8,75.8,23.3,76.7,12.5
B5,#39e158,57,225,88,131,74.7,88.2,73.7,55.3,63.6,74.5,22.3,74.7,11.8
B6,#64e0a4,100,224,164,151,55.4,87.8,66.7,63.5,58.1,57.9,20.0,55.4,12.2
B7,#3eae7c,62,174,124,153,64.4,68.2,47.5,46.3,57.5,60.7,38.8,64.4,31.8
B8,#1d9b54,29,155,84,146,81.3,60.8,68.5,36.1,59.4,78.5,47.1,81.3,39.2
B9,#2a5037,42,80,55,141,47.5,31.4,31.1,23.9,60.8,43.9,71.0,47.5,68.6
B10,#9ad1ba,154,209,186,155,26.3,82.0,37.4,71.2,56.9,28.7,21.5,26.3,18.0
B11,#627032,98,112,50,74,55.4,43.9,38.3,31.8,79.4,51.6,60.0,55.4,56.1
B12,#1a6e3d,26,110,61,145,76.4,43.1,61.8,26.7,59.7,73.2,62.1,76.4,56.9
